Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), diffusivity
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 6, 4, 66.6667, 341, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 27, 27, 100, 346, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 166, 166, 100, 342, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 177, 172, 97.1751, 353, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 436, 436, 100, 356, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 381, 380, 99.7375, 364, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 713, 709, 99.439, 354, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 1097, 1008, 91.887, 356, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 1351, 1238, 91.6358, 357, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 486, 344, 70.7819, 353, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 800, 704, 88, 360, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 716, 614, 85.7542, 360, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 763, 646, 84.6658, 348, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 289, 149, 51.5571, 358, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,14, 264, 179, 67.803, 352, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,15, 43, 41, 95.3488, 348, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,16, 36, 35, 97.2222, 343, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,17, 36, 35, 97.2222, 355, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,18, 14, 11, 78.5714, 353, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,19, 111, 78, 70.2703, 351, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,20, 136, 124, 91.1765, 353, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,21, 351, 344, 98.0057, 353, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,22, 875, 875, 100, 347, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,23, 2961, 2893, 97.7035, 350, DIFF_CHARBONNIER
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,24, 2105, 1931, 91.734, 354, DIFF_CHARBONNIER
