Video, Frame ID, Features Found, Features in pillars, percentage match, time taken to find features (ms), threshold
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,26, 78, 78, 100, 354, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,27, 87, 68, 78.1609, 346, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,28, 24, 24, 100, 356, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,29, 84, 84, 100, 360, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,30, 65, 61, 93.8462, 355, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,31, 41, 41, 100, 346, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,32, 41, 38, 92.6829, 353, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,33, 53, 48, 90.566, 361, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,34, 0, 0, -1, 364, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,35, 6, 2, 33.3333, 351, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,36, 17, 7, 41.1765, 359, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,37, 14, 5, 35.7143, 354, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,38, 15, 12, 80, 352, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,39, 13, 9, 69.2308, 342, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,40, 13, 3, 23.0769, 348, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,41, 7, 2, 28.5714, 342, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,42, 2, 0, 0, 360, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,43, 4, 0, 0, 349, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,44, 328, 74, 22.561, 341, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,45, 188, 58, 30.8511, 358, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,46, 159, 47, 29.5597, 342, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,47, 60, 29, 48.3333, 355, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,48, 17, 8, 47.0588, 345, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,49, 37, 20, 54.0541, 351, 0.001000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,0, 0, 0, -1, 349, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,1, 0, 0, -1, 342, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,2, 0, 0, -1, 344, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,3, 0, 0, -1, 345, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,4, 0, 0, -1, 348, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,5, 0, 0, -1, 353, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,6, 0, 0, -1, 348, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,7, 0, 0, -1, 354, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,8, 0, 0, -1, 350, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,9, 0, 0, -1, 345, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,10, 0, 0, -1, 348, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,11, 0, 0, -1, 355, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,12, 0, 0, -1, 355, 0.010000
../Data/New_Pillar_Top_Images/New_Pillar_Top_Images_Video.avi,13, 0, 0, -1, 350, 0.010000
