Video, Frame ID, hole count, invalid_percentage, speckle_percentage, incomplete, time_spent_ms,  number_of_disparities
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,34, 3678, 16.1973, 94.0674, 1, 161, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,35, 3556, 16.3078, 93.3115, 1, 184, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,36, 3574, 16.0802, 94.0349, 1, 182, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,37, 3587, 15.8255, 93.6599, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,38, 3513, 16.0929, 93.196, 1, 157, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,39, 3670, 16.2199, 92.9166, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,40, 3685, 16.1169, 93.7517, 1, 159, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,41, 3642, 15.4753, 93.9252, 1, 196, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,42, 3568, 15.5245, 93.7093, 1, 158, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,43, 3555, 15.4103, 94.5166, 1, 154, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,44, 3662, 15.3215, 93.9962, 1, 153, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,45, 3548, 15.4087, 94.06, 1, 153, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,46, 3538, 14.919, 94.1602, 1, 175, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,47, 3667, 14.5185, 94.5895, 1, 158, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,48, 3626, 14.5165, 94.8181, 1, 157, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,49, 3521, 14.3754, 94.114, 1, 157, 32
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,0, 2395, 12.717, 85.2252, 0, 170, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,1, 2339, 12.0982, 82.934, 0, 169, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,2, 2374, 11.7128, 86.9583, 0, 173, 48
/home/benjamin/Master_Thesis_Workspace/Data/Video_Data/Short_Objects_bottom.mkv,3, 2319, 11.7643, 86.0255, 0, 173, 48
