Video, Frame ID, matches, match percent, time_ms, descriptor_size
../Data/Video_Data/Solo_Pillar.mkv, 28, 2, 1.3245, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 29, 2, 1.28205, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 30, 2, 1.30719, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 31, 2, 1.51515, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 32, 2, 1.51515, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 33, 2, 1.49254, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 34, 2, 1.62602, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 35, 2, 1.63934, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 36, 2, 1.50376, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 37, 2, 1.68067, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 38, 2, 1.72414, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 39, 2, 1.69492, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 40, 2, 1.88679, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 41, 2, 1.66667, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 42, 2, 1.75439, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 43, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 44, 2, 1.76991, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 45, 2, 1.9802, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 46, 2, 1.92308, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 47, 2, 1.83486, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 48, 2, 2, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 49, 2, 1.73913, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 50, 2, 2.0202, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 51, 2, 2.0202, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 52, 2, 2, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 53, 2, 1.73913, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 54, 2, 1.65289, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 55, 2, 1.55039, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 56, 2, 1.94175, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 57, 2, 1.92308, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 58, 2, 1.6129, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 59, 2, 1.66667, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 60, 2, 1.49254, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 61, 2, 1.7094, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 62, 2, 1.72414, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 63, 2, 1.86916, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 64, 2, 1.96078, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 65, 2, 2.04082, 0, 1
../Data/Video_Data/Solo_Pillar.mkv, 66, 2, 1.81818, 0, 1
